Rating,Ulasan
4,"Sepatu nya bagus, ringan, ukuran agak sedikit besar tp masih nyaman d pake sih, cuma sayang bgt packing nya jelek bgt, cuma d bungkus plastik doang, kardus pada bolong🤦�... "
5,"fast respon, sepatu ringan, ukuran sesuai pesanan ,semoga awet.."
4,"Bentuk dan ukuran: kebesaran dikit tp it's okayyy, bentuk nya ramping ga yang besar gt sol bawahnya, keren pokonyamah
Aroma: sedep poll klo barang baru mah😛🤩
Daya t... "
5,"bagus banget loh ya, aku mau pesan lagi nanti kalau ada warna pink, sol nya enak engga keras dan ringan"
5,Tidak usah ragu utk beli. dijamin enak nyaman
5,"Setelah menunggu 2 minggu akhirnya sampai juga dirumah 🫶🫶. 
Syukaaa di pakainya pun ringan .. 
Recommended pokoknya 😍😍 
Next time beli lagi di size 38 🤭🤭 
39 nya ag... "
5,packingnya bagus pake buble wrap dan di plastikin lagi jadi ga rusak
5,"Semuanya the best👍. Pelayanan, pengiriman, model dan kualitas sangat memuaskan. Terimakasih KANKY 🙏"
5,"kereenn sii ini sepatunya, ringan jugaa kalo kalian masih bingung ini ga perlu up size ya normal aja udah pas kok thank u yaa kanky next order warna lainn🥰🫰🏻"
5,"Ukuran pas dan ringan bgt. Sangat nyaman dipakainya.
Recomended"
5,Sepatunya ringan banget. Ukuran pas. Model sepatu lumayan keren. Semoga awet dipakai.
5,Sesuai ekspektasi warnanya juga bagus ukuran pass
5,"Sepatunya ringan banget,langsung di pake ,pokoknya suka pake bangettttt,I love kanky👍"
5,"enteng bgt, mulus gak ada cacat barangnya, puasss"
5,"bagus, cuman harus dilebihin 1 size kalo mau enak"
5,"Bagus bangett sesuai dengan sepatu yg aku pengenn, semoga awettt warnanya cantikkk🤍"
5,"Ukuran insol 24,5 mungkin bisa ambil size 39 biar kalo pake kaos kaki lebih nyaman"
5,cintai produk Indonesia. ini juga ga kalah oke sama brand lain
5,"bener bener cakep bangettt bahanyaa super empukk intinya cocok buat running
Bentuk dan ukuran: Ukuran 39"
5,"Baru kasih ulasan poko nya kanky mantap pol bahan bagus dan ringan
Warna: White/L. Pink 40"
5,"ukuran pas, pengiriman cepat, modelnya bagus. Beli buat istri dia suka banget, mantap👍"
5,"Ukuran pas, enak dipakai. Pengiriman dan packing standar aja"
5,"Sepatunya sdh diterima, kondisi baik, packing baik, sepatu sesuai dengan yg di iklankan, mudah2an awet untuk penggunaan harian. Terima kasih Kanky dan Tokped"
5,"ukurannya pas, warna sesuai gambar, ringan bgt sepatunya, pas buat joging"
5,pertama kali beli kanky buat anak. dari looks dan feels nya kayaknya enak & nyaman. mudah mudahan awet juga. thanks buat tokped & pengirimannya yg cepet.
5,"Alhamdulillah pesanan sdh sampai, nyaman dipakai modelnya ok... seller fast respon. kurir sesuai estimasi. semoga berkah dan banyak yg order... 😁"
5,"bagus bgttt, sesuai sm gambarnya, kemasannya juga rapi dan selamat sampai tujuan. biasanya untuk sendal sy pakai uk 38 tp sepatu ini sy ambil 37 bener’ pas di kaki🫰"
5,"CAKEEEPPP BANGETTTT 🤩🤩 
sempet bingung karna biasanya pake sepatu no 39 dengan insole 24.5, tapi tetep mencoba percaya diri ngikut ukuran sesuai deskripsi ambil ukuran... "
5,"baguss gaisss, ukurannya jg sesuai sama yg di deskripsi jd kalian tinggal ukur kaki seberapa panjang"
5,"Sampai dengan selamat dan kali pertama beli kanky ternyata bagus dan ringan sepatunya..
Sukses kanky
Kanky pride"
5,"Bentuk dan ukuran: 40
Warna: White grey
Bagus banget sepatunya pas juga ukurannya semoga awet 😍"
5,"diawal paket diterima ada yg robek plastiknya, tpi untung sepatunya ga knpa"". super duper ringan pas dicoba tdii👍🏻, dan lain kali lebih di perhatikan lagi plastik y... "
5,"ukuran sesuai, kualitas lumayan, berharap lebih sbnrnya hahaha. insole empuk jd enak dipakainya"
5,"Sepatunya bagus, rapih dan empuk di pake.. kebetulan untuk orang tua dan enk di pakai katanya.. cakep 👍🏻"
5,cocok untuk jogging ringan. enteng pula. the best lah.
5,minta kirim cepat dipercepat jg.... makasi ya ...barang bagus penjual ramah sukses buat usahanya
5,Bagus  tpi sayangnya kekecilan dan untungnya kk aku mau ya udah dehhh
5,Bagus woy wkwk kedua kalinya beli kanky waktu itu beliin adeku skrg buatku sendiri asek makasih seller semoga awet mau dipake olahraga mantap
5,"serius sih ini sepatu hampang banget lucu juga warnanya, mau dicoba buat running, sehari langsung sampai sesama bandung makasih banyak min🫶🏻🫶🏻"
5,"kualitas sepatu mantap, pengiriman cepat.....👍"
5,ukuran yang dikirim sesuai pesanan dipakai juga enak empuk solnya
5,"CAKEP BANGETTT GABOONGGGGG, aku biasa make sepatu ukuran 39, trs aku ambil 39 juga pas ga kegedeannn, ENTENG BANGET ENAK BUAT RUNNING, bakall beli lagi disiniiii!!!!"
5,barang sesuai ekspetasi.. mantap solnya rapih.. semogaa aweett..
4,Bagus sesuai pesanan pas semua mantap semoga awet
5,"Pas banget di aq uk.40 dngn kakiqu 25,5.empuk banget,warna cantik"
5,"udah repeat order utk variant yang berbeda
sejauh ini puas
tetap bertahan dengan harga, model dan kualitas yang OK yaaa..."
5,"Bagus, ringan nyamann, biyar bintang yg berbica yaa mkasihh kk"
5,pas di kaki.. trendi.. harga pas di kantong.. moga awet
5,"Bagus, di pakai enak, semoga awet biar bisa jadi langganan beli disini"
5,barangnya sesuai orderan..ringan dan utk kenyamanan belum dicoba...terima kasih
5,"kualitas barang oke bagus sesuai harga, sol lumayan empuk, ukuran pas di kaki, untuk easy running masih oke, tapi kalo untuk long run kurang recomended"
5,"Sesuai,,nyaman,,next KLO beli perlu up size coz feel sesex,,,karna ternyata UK ceker eik 25cm 🙏🙏"
4,"bagus real pict, cukup nyaman dipake. disarankan admin 39 agak ngepres tapi ngk papa semoga awet"
