Produk,Rating,Ulasan
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,mantaab.. puas om ku.. nyaman.. keren.. build quality nya ga ragu lagi ..
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,bagusss
Kanky Story Kogyuku - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Bagus bnget
Kanky Story Hageshi - Sepatu Sneakers Running Pria/Wanta Dewasa,5,🅑🅐🅖🅤🅢
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,"Sepatu nya bgs..next langganan lagi
Bentuk dan ukuran: Uk 39 pas
Warna: Black"
KANKY x STAPLE  EXC-02  -  Sepatu Casual Sport Style Pria Dewasa - Kanky Sportstyle,5,cakeppp nyaaa
Kanky Story Kenshin - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original,5,"Gileee gileee gileee kanky, kereen abis, ini pembelian ketiga, menyalaa"
Kanky Sportsyle EXC 02 - Sepatu Sport Casual Sport Style Pria Dewasa,5,bagus sih..enteng..agak kebesaran dikit karena size 39 nya sold out..gapapa bisa diakalin dengan pakai kaos kaki..
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,4,"Semoga awet, yok ramein produk lokal"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Bentuk dan ukuran: Realfict, dan Pas, biasa pake 39 turunin satu size karna UK nya gede jadi 38🤩"
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Terbaik, enteng nyaman dan warnanya cakep banget"
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Bentuk dan ukuran: Size normal
Daya tahan pakai: Belum pernah dipakai
Warna: Cantik"
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Keren nih produk lokal 👍🏻👍🏻
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,"pengiriman agak lama, tapi barang datang sesuai, kualitas seperti biasanya ok 🙂"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Sepatunya realpict, kemasan baik, kualitas ok, bagus utk jalan kaki, nyaman dikaki, recommended, seller amanah"
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,"Sepatunya bagu, bahannya tebal, nyaman dipakai, pengirimannya cepat, sesuai dengan deskripsi"
Kanky Story Kenshin - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original,4,Keren
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Alhamdulillah, kereeeen ini sepatu ringan bgt. Anakku semoga suka. Tetap amanah dan inovatif ya"
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,𝚂𝚞𝚔𝚊 𝚋𝚐𝚝 𝚋𝚊𝚛𝚊𝚗𝚐𝚗𝚢𝚊 𝚙𝚞𝚊𝚜 𝚋𝚐𝚝... 𝙼𝚊𝚔𝚊𝚜𝚒𝚑.. 𝙿𝚘𝚔𝚘𝚗𝚢𝚊 𝚝𝚘𝚘𝚘𝚙 𝚋𝚐𝚝 𝚋𝚛𝚗𝚐𝚗𝚢𝚊
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Oke
Kanky Street RC-02 by Rico Lubis - Sepatu Basketball Pria Dewasa,5,Kereeeen
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Bagus
Kanky Klasik Story Kitaro - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Op
Kanky x Tahilalats x One Piece Story Kagayaku Zoro - Sepatu Sneakers Casual Sport Pria/Wanita Dewasa,5,Size 42 nya pas di kaki..pengiriman cepat dan aman👍
Kanky Story Kenshin - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original,5,"Barang bagus sesuai pesanan,  pengiriman cepat"
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,ukuran pas sesuai deskripsi
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Diluar ekspektasi bakal senyaman dan seringan ini omggg sukak
Kanky Story Kenshin - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original,5,"Oke untuk harga segini, cuma kurang sreg di bawahnya kaya sterofoam bekas beli tipi wkwkw

Tapi oke laaahh

Maju terus produk lokal Indonesia ❤️‍🔥"
Kanky Hiro Nobunaga V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dew,5,Bagus
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Bagus banget produknya sesuai sama harga kualitas okeeee 👌👌👌👌
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Bagus
Kanky Klasik Story Kitaro - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,seller faat respon. pengiriman cepat. barang sesuai pesanan. sepatunya nyaman dipakai walau kurang breathable.
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,min overall sepatu nyaa bagus tapi coba agak sedikit dilebarin soalnya kaki lebar kayak saya kurang nyaman jadi saya cabut satu lubang
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Top lah bagus gak ngecewain sesuai sama di foto dan di iklan🫡
Kanky Story Kenshin - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original,5,"Sepatu pas di coba, empuk, ringan, dan enak diajak jalan cepat. Mantap lah"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,cakep batt gilaa moga awet
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"alhamdulillah sepatu wishlist saya sudah sampai, terimakasih banyak"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Bagus bgt, sesuai ekspektasi... Alhamdulillah"
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,"barang bagus.nyaman di pake
warna sesuai pesanan 
estimasi sesuai"
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Barang sdh diterima sesuai ekspektasi terimakasih
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,baguss bgt ringan enak buat olahraga
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,"mantep.. proses satset. kualitas okehhh. comfortable. jahitan rapihh.. mirip yee*zy iya, tp dengan harga segini, Lu dapet kualitas sneakers yg ohmaygaddd keren abisssss.... "
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,"Pembelian kedua,sumpah yg hitam cakep banget,diapakai kerja nyaman banget🫰🫰🫰🫰🫰"
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"pengiriman cepat, barang sesuai pesanan..terima kasih"
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,4,Barang oke
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Barang sudah sampai, sesuai dengan pesanan dan recomended. Mudah-mudahan tahan lama"
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,4,Barang retur salah jenis sepatu ey kacau
Kanky Story Hageshi - Sepatu Sneakers Running Pria/Wanta Dewasa,5,"Puas banget, langsung dibawa jalan2 ke Malaysia eeeeeuy.."
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,bagus sepatunya. semoga aja awet
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,nyaman bangettt
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,4,Ok
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Model keren! Bahannya ringan banget dan nyaman di kaki. Sol nya lentur banget. Belum di tes untuk lari. Mudah2an awet
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Bentuk dan ukuran: Pas
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,4,Bagus
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,4,"bagus tapi mata kaki keluar, dan agk sakit bergeser dngan sepatu"
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,Nice
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Spatunya bagus ringan dan nyaman
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,4,Sepatunya bagus banget
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Barangnya sampai dengan selamat.. Smoga awet
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,mantap
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Kerenn 👍 mantapp
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Setelah menunggu 2 minggu akhirnya sampai juga dirumah 🫶🫶. 
Syukaaa di pakainya pun ringan .. 
Recommended pokoknya 😍😍 
Next time beli lagi di size 38 🤭🤭 
39 nya ag... "
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Mantul
